AWG,Mils,CMA,mm,cmils,mm2,,Wire Guage to mm2,,,,
56,0.49,0,0.0125,0.24,0.000122,,,,,,
55,0.55,0,0.014,0.302,0.000153,,,,,,
54,0.62,0,0.0158,0.384,0.000195,,,,,,
53,0.7,0,0.0178,0.49,0.000248,,,,,,
52,0.78,0,0.0198,0.608,0.000308,,,,,,
51,0.88,1,0.0224,0.774,0.000392,,,,,,
50,0.99,1,0.0252,0.98,0.000497,,,,,,
49,1.11,1,0.0282,1.23,0.000624,,,,,,
48,1.24,1,0.0315,1.54,0.000779,,,,,,
47,1.4,2,0.0356,1.96,0.000993,,,,,,
46,1.57,2,0.0399,2.46,0.00125,,,,,,
45,1.76,2,0.0447,3.1,0.00157,,,,,,
44,2,3,0.0508,4,0.00203,,,,,,
43,2.2,4,0.0559,4.84,0.00245,,,,,,
42,2.5,5,0.0635,6.25,0.00317,,,,,,
41,2.8,6,0.0711,7.84,0.00397,,,,,,
40,3.1,8,0.0787,9.61,0.00487,,,,,,
39,3.5,10,0.089,12.2,0.00621,,,,,,
38,4,13,0.102,16,0.00811,,,,,,
37,4.5,16,0.114,20.2,0.0103,,,,,,
36,5,20,0.127,25,0.0127,,,,,,
35,5.6,25,0.142,31.4,0.0159,,,,,,
34,6.3,31,0.16,39.7,0.0201,,,,,,
33,7.1,40,0.18,50.4,0.0255,,,,,,
32,8,50,0.203,64,0.0324,,,,,,
31,8.9,62,0.226,79.2,0.0401,,,,,,
30,10,79,0.254,100,0.0507,,,,,,
29,11.3,100,0.287,128,0.0647,,,,,,
28,12.6,125,0.32,159,0.0804,,,,,,
27,14.2,158,0.361,202,0.102,,,,,,
26,15.9,199,0.404,253,0.128,,,,,,
25,17.9,252,0.455,320,0.162,,,,,,
24,20.1,317,0.511,404,0.205,,,,,,
23,22.6,401,0.574,511,0.259,,,,,,
22,25.3,503,0.643,640,0.324,,,,,,
21,28.5,638,0.724,812,0.412,,,,,,
20,32,804,0.813,1020,0.519,,,,,,
19,35.9,1012,0.904,1290,0.653,,,,,,
18,40.3,1276,1.02,1620,0.823,,,,,,
17,45.3,1612,1.15,2050,1.04,,,,,,
16,50.8,2027,1.29,2580,1.31,,,,,,
15,57.1,2561,1.45,3260,1.65,,,,,,
14,64.1,3227,1.63,4110,2.08,,,,,,
13,72,4072,1.83,5180,2.63,,,,,,
12,80.8,5128,2.05,6530,3.31,,,,,,
11,90.7,6461,2.3,8230,4.17,,,,,,
10,101.9,8155,2.59,10380,5.26,,,,,,
9,114.4,10279,2.91,13090,6.63,,,,,,
8,128.5,12969,3.26,16510,8.37,,,,,,
7,144.3,16354,3.67,20820,10.6,,,,,,
6,162,20612,4.11,26240,13.3,,,,,,
5,181.9,25987,4.62,33090,16.8,,,,,,
4,204.3,32781,5.19,41740,21.1,,,,,,
3,229.4,41331,5.82,52620,26.7,,,,,,
2,257.6,52117,6.54,66360,33.6,,,,,,
1,289.3,65733,7.35,83690,42.4,,,,,,
1/0,324.9,82907,8.25,105600,53.5,,,,,,
2/0,364.8,104520,9.26,133100,67.4,,,,,,
3/0,409.6,131768,10.404,167800,85,,,,,,
4/0,460,166190,11.684,211600,107.2,,,,,,
